;;;ML VELHA;;ML NOVA;;;;B2B - 1;B2B - 2;B2B - 3
;;100%;100%;95%;100%;95%;;B2C;15%;20%;30%
SKU;Descrição do Produto;Preço VTEX;Premium;Clássico;Premium;Clássico;Maior Preço;Menor Preço;Desconto;Desconto;Desconto
ACAV03UN;Manivela esportiva para vidro - Parafusada - Para  Fusca / Kombi / Brasília / TL - Unitário; R$ 74.955,00 ; R$ 78,90 ; R$ 74,96 ;  ;  ; R$ 74.955,00 ; R$ 74,96 ; R$ 63,72 ; R$ 59,97 ; R$ 52,47 
ACAV04;Par de manivelas esportivas para vidro - Parafusada - Para  Fusca / Kombi / Brasília / TL; R$ 120.555,00 ; R$ 123,31 ; R$ 116,70 ;  ;  ; R$ 120.555,00 ; R$ 116,70 ; R$ 99,20 ; R$ 93,36 ; R$ 81,69 
ACAV04UN;Manivela esportiva para vidro - Parafusada - Para  Fusca / Kombi / Brasília / TL - Unitário; R$ 74.955,00 ; R$ 78,90 ; R$ 74,96 ;  ;  ; R$ 74.955,00 ; R$ 74,96 ; R$ 63,72 ; R$ 59,97 ; R$ 52,47 
ACBFU0;Spoiler Dianteiro Bipartido Universal Splitter Carnard;  ;  ;  ; R$ 237,90 ;  ; R$ 237,90 ; R$ 237,90 ; R$ 202,22 ; R$ 190,32 ; R$ 166,53 
ACBFU01;Spoiler dianteiro bipartido universal; R$ 226.005,00 ;  ;  ; R$ 237,90 ; R$ 226,01 ; R$ 226.005,00 ; R$ 226,01 ; R$ 192,11 ; R$ 180,81 ; R$ 158,21 
ACBFU02;Spoiler dianteiro bipartido universal; R$ 226.005,00 ;  ;  ; R$ 237,90 ; R$ 226,01 ; R$ 226.005,00 ; R$ 226,01 ; R$ 192,11 ; R$ 180,81 ; R$ 158,21 
ACBFU03;Spoiler dianteiro bipartido universal; R$ 226.005,00 ;  ;  ; R$ 237,90 ; R$ 226,01 ; R$ 226.005,00 ; R$ 226,01 ; R$ 192,11 ; R$ 180,81 ; R$ 158,21 
ACBFU04;Spoiler dianteiro bipartido universal; R$ 226.005,00 ;  ;  ; R$ 237,90 ; R$ 226,01 ; R$ 226.005,00 ; R$ 226,01 ; R$ 192,11 ; R$ 180,81 ; R$ 158,21 
ACBJC01;Bujão carter magnético SPA; R$ 58.805,00 ; R$ 61,90 ; R$ 58,80 ; R$ 61,90 ; R$ 58,80 ; R$ 58.805,00 ; R$ 58,80 ; R$ 49,98 ; R$ 47,04 ; R$ 41,16 
ACBJC02;Bujão carter magnético SPA; R$ 55.955,00 ; R$ 58,90 ; R$ 55,96 ; R$ 58,90 ; R$ 55,96 ; R$ 55.955,00 ; R$ 55,96 ; R$ 47,57 ; R$ 44,77 ; R$ 39,17 
